inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,age,nchild,nchlt5,famsize,filestat,marst,statefip,eff_rate,asecwt
70057,0.4996217365859229,0.0,0.000785075010348716,0.0,0.0,0.0,0.0,26,0,0,1,5,6,11,6.632056365347862,315.72
77310,0.9959901694476782,0.0,0.004009830552321821,0.0,0.0,0.0,0.0,30,0,0,2,5,6,11,11.989393351442246,306.23
55128,0.9976781308953707,0.0,0.0021404730808300683,0.00018139602379915832,0.0,0.0,0.0,33,0,0,2,5,6,11,8.45505195000753,306.23
151159,0.9923325769553913,0.0,0.007330029968443824,0.00033077752565179714,0.0,0.0,6.615550513035942e-06,55,1,0,3,1,1,11,15.586979277970755,304.32
70000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,0,1,5,6,11,10.944285714285714,707.47
60225,0.9630552096305521,0.0,0.0020755500207555004,0.0016604400166044002,0.0,0.0,0.0,49,2,0,3,4,6,11,6.294547015886646,432.34
30000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,0,3,5,6,11,5.726666666666667,590.7
76611,0.9137069089295271,0.0,0.08629309107047291,0.0,0.0,0.0,0.0,63,0,0,1,5,6,11,11.897769249846627,364.14
114801,0.8972047281818103,0.0,0.015688016654907187,0.0,0.0,0.0,0.08710725516328255,38,0,0,1,5,6,11,12.929754738117138,273.21
20000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57,0,0,1,5,6,11,2.0390595577554205,307.31
24275,0.0,0.0,0.0012770339855818743,0.0,0.164778578784758,0.6777342945417095,0.0,79,0,0,1,5,5,11,0.0,408.05
118030,0.9828009828009828,0.0,0.0171990171990172,0.0,0.0,0.0,0.0,57,3,0,5,1,1,11,11.650050408871962,385.4
82001,0.9755978585627004,0.0,0.018304654821282667,0.006097486616016878,0.0,0.0,0.0,49,0,0,1,5,6,11,12.519359520005857,379.11
153913,0.007796612371924399,0.0,0.6993366382306888,0.007796612371924399,0.0,0.1891328217889327,0.0,72,0,0,1,5,4,11,16.88738160167545,327.69
12492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0,0,2,5,2,11,0.0,376.01
48000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,2,5,2,11,8.079166666666666,306.68
267041,0.9511648024086189,0.0,0.04883145284806453,3.7447433165693657e-06,0.0,0.0,0.0,38,3,1,5,1,1,11,0.2206668979247983,282.2
140054,0.9996144344324333,0.0,0.0003855655675667957,0.0,0.0,0.0,0.0,39,2,1,4,1,1,11,16.467323811362398,259.36
167776,0.9536524890329964,0.0,0.0016390902155254624,5.960328056456228e-06,0.0,0.0,0.04470246042342171,52,0,0,2,1,1,11,18.415628312959942,405.59
35010,0.9997143673236218,0.0,0.00028563267637817766,0.0,0.0,0.0,0.0,41,3,1,5,1,1,11,-0.7105615281686892,690.26
54000,0.9074074074074074,0.0,0.09259259259259259,0.0,0.0,0.0,0.0,67,0,0,2,3,1,11,5.835401034348749,288.15
4805,0.0,0.0,0.001040582726326743,0.0,0.0,0.0,0.0,41,3,1,5,1,1,11,16.666019501251185,244.35
644410,0.9310842476063376,0.0,0.055725392219239306,0.00775903539671948,0.0,0.0,0.005431324777703636,48,1,0,2,4,4,11,26.987061569615555,384.4
100934,0.0,0.0,0.00030713139279132896,0.0004953732141795629,0.0,0.0,0.0,69,2,0,5,2,1,11,6.520261365370477,312.57
13728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,0,5,5,6,11,-2.178030303030303,971.21
50000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1,0,5,4,6,11,2.3800000000000003,532.11
69001,0.27535832814017186,0.0,0.289865364270083,0.0,0.0,0.0,0.43477630758974506,45,1,0,2,4,6,11,4.507181055347024,293.46
38825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0,0,2,5,6,11,7.15260785576304,466.28
72000,0.9861111111111112,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,46,0,0,2,5,6,11,9.720833333333331,466.28
105621,0.9657170449058425,0.0,0.028602266594711278,0.005680688499446133,0.0,0.0,0.0,41,2,1,4,1,1,11,12.563700862550196,254.63
63800,0.0,0.0,0.023510971786833857,0.03605015673981191,0.0,0.0,0.0,67,1,0,2,4,4,11,5.760479041916168,296.05
84982,0.9649102162810949,0.0,0.03508978371890518,0.0,0.0,0.0,0.0,62,0,0,1,5,6,11,12.56148360829352,254.14
121302,0.9810225717630378,0.0,0.01897742823696229,0.0,0.0,0.0,0.0,51,2,0,3,5,4,11,15.818370678142156,604.31
41810,0.9949772781631189,0.0,0.005022721836881129,0.0,0.0,0.0,0.0,35,0,0,3,5,6,11,7.4982061707725425,457.39
3700,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,3,5,6,11,-7.648648648648648,1103.79
51000,0.9607843137254902,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,45,0,0,2,1,1,11,8.159183673469387,484.6
171550,0.0,0.9909647333139027,0.0052462838822500725,0.003788982803847275,0.0,0.0,0.0,43,2,0,4,1,1,11,16.54977630626461,318.13
201185,0.7455824241369884,0.0,0.24894997141934042,0.005467604443671248,0.0,0.0,0.0,46,3,1,5,1,1,11,12.072080418770556,293.22
162585,0.615062890180521,0.0,0.015899375711166466,0.0,0.3690377341083126,0.0,0.0,59,0,0,1,5,6,11,17.4013592889873,360.01
96000,0.9895833333333334,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,32,0,0,1,5,2,11,13.938541666666667,551.74
422002,0.9952559466542813,0.0,0.004744053345718741,0.0,0.0,0.0,0.0,42,2,1,4,1,1,11,20.297048553597065,484.6
114913,0.9659481520802694,0.0,0.0031328048175576304,8.702235604326751e-06,0.0,0.0,0.0,35,2,2,4,1,1,11,7.341537065653486,238.98
16800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,0,0,1,5,5,11,0.0,311.07
116891,0.0,0.0,0.012755473047540015,0.0,0.0,0.0,0.0,70,0,0,1,5,5,11,15.130335098510578,278.13
7369,0.0,0.0,0.20423395304654635,0.0,0.0,0.0,0.0,45,2,0,4,1,1,11,14.394656713485904,419.6
10766,0.0,0.0,0.06501950585175553,0.0,0.06501950585175553,0.0,0.4644250417982538,80,0,0,2,3,1,11,0.0,288.15
